# Registry dump
# Registry: create:fan_processing_type
# Minecraft: 1.21.1
# Entries: 24
# Generated: 2026-06-14T13:45:01.0371095+08:00

create:blasting raw_id=1 class=com.simibubi.create.content.kinetics.fan.processing.AllFanProcessingTypes$BlastingType
create:haunting raw_id=2 class=com.simibubi.create.content.kinetics.fan.processing.AllFanProcessingTypes$HauntingType
create:smoking raw_id=3 class=com.simibubi.create.content.kinetics.fan.processing.AllFanProcessingTypes$SmokingType
create:splashing raw_id=4 class=com.simibubi.create.content.kinetics.fan.processing.AllFanProcessingTypes$SplashingType
create_dragons_plus:coloring_black raw_id=8 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_blue raw_id=17 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_brown raw_id=9 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_cyan raw_id=15 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_gray raw_id=7 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_green raw_id=14 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_light_blue raw_id=16 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_light_gray raw_id=6 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_lime raw_id=13 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_magenta raw_id=19 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_orange raw_id=11 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_pink raw_id=20 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_purple raw_id=18 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_red raw_id=10 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_white raw_id=5 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:coloring_yellow raw_id=12 class=plus.dragons.createdragonsplus.common.kinetics.fan.coloring.ColoringFanProcessingType
create_dragons_plus:ending raw_id=23 class=plus.dragons.createdragonsplus.common.kinetics.fan.ending.EndingFanProcessingType
create_dragons_plus:freezing raw_id=21 class=plus.dragons.createdragonsplus.common.kinetics.fan.freezing.FreezingFanProcessingType
create_dragons_plus:sanding raw_id=22 class=plus.dragons.createdragonsplus.common.kinetics.fan.sanding.SandingFanProcessingType
createnuclear:enriched raw_id=0 class=net.nuclearteam.createnuclear.content.kinetics.fan.processing.CNFanProcessingTypes$EnrichedType
