# Registry dump
# Registry: minecraft:item
# Minecraft: 1.21.1
# Entries: 14351
# Generated: 2026-06-14T13:45:01.2298569+08:00

amendments:dragon_charge raw_id=8533 class=net.mehvahdjukaar.amendments.common.item.DragonChargeItem
amendments:dye_bottle raw_id=8534 class=net.mehvahdjukaar.amendments.common.item.DyeBottleItem
another_furniture:acacia_bench raw_id=10013 class=net.minecraft.world.item.BlockItem
another_furniture:acacia_chair raw_id=9925 class=net.minecraft.world.item.BlockItem
another_furniture:acacia_drawer raw_id=10024 class=net.minecraft.world.item.BlockItem
another_furniture:acacia_flower_box raw_id=9985 class=net.minecraft.world.item.BlockItem
another_furniture:acacia_shelf raw_id=9936 class=net.minecraft.world.item.BlockItem
another_furniture:acacia_shutter raw_id=9974 class=net.minecraft.world.item.BlockItem
another_furniture:acacia_table raw_id=9947 class=net.minecraft.world.item.BlockItem
another_furniture:bamboo_bench raw_id=10017 class=net.minecraft.world.item.BlockItem
another_furniture:bamboo_chair raw_id=9929 class=net.minecraft.world.item.BlockItem
another_furniture:bamboo_drawer raw_id=10028 class=net.minecraft.world.item.BlockItem
another_furniture:bamboo_flower_box raw_id=9989 class=net.minecraft.world.item.BlockItem
another_furniture:bamboo_shelf raw_id=9940 class=net.minecraft.world.item.BlockItem
another_furniture:bamboo_shutter raw_id=9978 class=net.minecraft.world.item.BlockItem
another_furniture:bamboo_table raw_id=9951 class=net.minecraft.world.item.BlockItem
another_furniture:birch_bench raw_id=10011 class=net.minecraft.world.item.BlockItem
another_furniture:birch_chair raw_id=9923 class=net.minecraft.world.item.BlockItem
another_furniture:birch_drawer raw_id=10022 class=net.minecraft.world.item.BlockItem
another_furniture:birch_flower_box raw_id=9983 class=net.minecraft.world.item.BlockItem
another_furniture:birch_shelf raw_id=9934 class=net.minecraft.world.item.BlockItem
another_furniture:birch_shutter raw_id=9972 class=net.minecraft.world.item.BlockItem
another_furniture:birch_table raw_id=9945 class=net.minecraft.world.item.BlockItem
another_furniture:black_curtain raw_id=10007 class=net.minecraft.world.item.BlockItem
another_furniture:black_lamp raw_id=10046 class=net.minecraft.world.item.BlockItem
another_furniture:black_sofa raw_id=10062 class=net.minecraft.world.item.BlockItem
another_furniture:black_stool raw_id=9969 class=net.minecraft.world.item.BlockItem
another_furniture:black_tall_stool raw_id=10078 class=net.minecraft.world.item.BlockItem
another_furniture:blue_curtain raw_id=10003 class=net.minecraft.world.item.BlockItem
another_furniture:blue_lamp raw_id=10042 class=net.minecraft.world.item.BlockItem
another_furniture:blue_sofa raw_id=10058 class=net.minecraft.world.item.BlockItem
another_furniture:blue_stool raw_id=9965 class=net.minecraft.world.item.BlockItem
another_furniture:blue_tall_stool raw_id=10074 class=net.minecraft.world.item.BlockItem
another_furniture:brown_curtain raw_id=10004 class=net.minecraft.world.item.BlockItem
another_furniture:brown_lamp raw_id=10043 class=net.minecraft.world.item.BlockItem
another_furniture:brown_sofa raw_id=10059 class=net.minecraft.world.item.BlockItem
another_furniture:brown_stool raw_id=9966 class=net.minecraft.world.item.BlockItem
another_furniture:brown_tall_stool raw_id=10075 class=net.minecraft.world.item.BlockItem
another_furniture:cherry_bench raw_id=10016 class=net.minecraft.world.item.BlockItem
another_furniture:cherry_chair raw_id=9928 class=net.minecraft.world.item.BlockItem
another_furniture:cherry_drawer raw_id=10027 class=net.minecraft.world.item.BlockItem
another_furniture:cherry_flower_box raw_id=9988 class=net.minecraft.world.item.BlockItem
another_furniture:cherry_shelf raw_id=9939 class=net.minecraft.world.item.BlockItem
another_furniture:cherry_shutter raw_id=9977 class=net.minecraft.world.item.BlockItem
another_furniture:cherry_table raw_id=9950 class=net.minecraft.world.item.BlockItem
another_furniture:crimson_bench raw_id=10018 class=net.minecraft.world.item.BlockItem
another_furniture:crimson_chair raw_id=9930 class=net.minecraft.world.item.BlockItem
another_furniture:crimson_drawer raw_id=10029 class=net.minecraft.world.item.BlockItem
another_furniture:crimson_flower_box raw_id=9990 class=net.minecraft.world.item.BlockItem
another_furniture:crimson_shelf raw_id=9941 class=net.minecraft.world.item.BlockItem
another_furniture:crimson_shutter raw_id=9979 class=net.minecraft.world.item.BlockItem
another_furniture:crimson_table raw_id=9952 class=net.minecraft.world.item.BlockItem
another_furniture:cyan_curtain raw_id=10001 class=net.minecraft.world.item.BlockItem
another_furniture:cyan_lamp raw_id=10040 class=net.minecraft.world.item.BlockItem
another_furniture:cyan_sofa raw_id=10056 class=net.minecraft.world.item.BlockItem
another_furniture:cyan_stool raw_id=9963 class=net.minecraft.world.item.BlockItem
another_furniture:cyan_tall_stool raw_id=10072 class=net.minecraft.world.item.BlockItem
another_furniture:dark_oak_bench raw_id=10014 class=net.minecraft.world.item.BlockItem
another_furniture:dark_oak_chair raw_id=9926 class=net.minecraft.world.item.BlockItem
another_furniture:dark_oak_drawer raw_id=10025 class=net.minecraft.world.item.BlockItem
another_furniture:dark_oak_flower_box raw_id=9986 class=net.minecraft.world.item.BlockItem
another_furniture:dark_oak_shelf raw_id=9937 class=net.minecraft.world.item.BlockItem
another_furniture:dark_oak_shutter raw_id=9975 class=net.minecraft.world.item.BlockItem
another_furniture:dark_oak_table raw_id=9948 class=net.minecraft.world.item.BlockItem
another_furniture:furniture_hammer raw_id=10079 class=com.starfish_studios.another_furniture.item.HammerItem
another_furniture:gray_curtain raw_id=9999 class=net.minecraft.world.item.BlockItem
another_furniture:gray_lamp raw_id=10038 class=net.minecraft.world.item.BlockItem
another_furniture:gray_sofa raw_id=10054 class=net.minecraft.world.item.BlockItem
another_furniture:gray_stool raw_id=9961 class=net.minecraft.world.item.BlockItem
another_furniture:gray_tall_stool raw_id=10070 class=net.minecraft.world.item.BlockItem
another_furniture:green_curtain raw_id=10005 class=net.minecraft.world.item.BlockItem
another_furniture:green_lamp raw_id=10044 class=net.minecraft.world.item.BlockItem
another_furniture:green_sofa raw_id=10060 class=net.minecraft.world.item.BlockItem
another_furniture:green_stool raw_id=9967 class=net.minecraft.world.item.BlockItem
another_furniture:green_tall_stool raw_id=10076 class=net.minecraft.world.item.BlockItem
another_furniture:jungle_bench raw_id=10012 class=net.minecraft.world.item.BlockItem
another_furniture:jungle_chair raw_id=9924 class=net.minecraft.world.item.BlockItem
another_furniture:jungle_drawer raw_id=10023 class=net.minecraft.world.item.BlockItem
another_furniture:jungle_flower_box raw_id=9984 class=net.minecraft.world.item.BlockItem
another_furniture:jungle_shelf raw_id=9935 class=net.minecraft.world.item.BlockItem
another_furniture:jungle_shutter raw_id=9973 class=net.minecraft.world.item.BlockItem
another_furniture:jungle_table raw_id=9946 class=net.minecraft.world.item.BlockItem
another_furniture:light_blue_curtain raw_id=9995 class=net.minecraft.world.item.BlockItem
another_furniture:light_blue_lamp raw_id=10034 class=net.minecraft.world.item.BlockItem
another_furniture:light_blue_sofa raw_id=10050 class=net.minecraft.world.item.BlockItem
another_furniture:light_blue_stool raw_id=9957 class=net.minecraft.world.item.BlockItem
another_furniture:light_blue_tall_stool raw_id=10066 class=net.minecraft.world.item.BlockItem
another_furniture:light_gray_curtain raw_id=10000 class=net.minecraft.world.item.BlockItem
another_furniture:light_gray_lamp raw_id=10039 class=net.minecraft.world.item.BlockItem
another_furniture:light_gray_sofa raw_id=10055 class=net.minecraft.world.item.BlockItem
another_furniture:light_gray_stool raw_id=9962 class=net.minecraft.world.item.BlockItem
