# Registry dump
# Registry: minecraft:worldgen/feature
# Minecraft: 1.21.1
# Entries: 133
# Generated: 2026-06-14T13:45:01.458595+08:00

artifacts:campsite raw_id=97 class=artifacts.world.CampsiteFeature
artifacts:suspicious_chest raw_id=98 class=artifacts.world.SuspiciousChestFeature
atmospheric:aspen_tree raw_id=117 class=com.teamabnormals.atmospheric.common.levelgen.feature.AspenTreeFeature
atmospheric:baby_kousa_tree raw_id=119 class=com.teamabnormals.atmospheric.common.levelgen.feature.BabyKousaTreeFeature
atmospheric:baby_yucca_tree raw_id=116 class=com.teamabnormals.atmospheric.common.levelgen.feature.BabyYuccaTreeFeature
atmospheric:coarse_dirt raw_id=129 class=com.teamabnormals.atmospheric.common.levelgen.feature.CoarseDirtFeature
atmospheric:coarse_dirt_patch raw_id=107 class=com.teamabnormals.atmospheric.common.levelgen.feature.CoarseDirtPatchFeature
atmospheric:crustose raw_id=126 class=com.teamabnormals.atmospheric.common.levelgen.feature.CrustoseFeature
atmospheric:currant_tree raw_id=124 class=com.teamabnormals.atmospheric.common.levelgen.feature.CurrantTreeFeature
atmospheric:dragon_roots raw_id=112 class=com.teamabnormals.atmospheric.common.levelgen.feature.DragonRootsFeature
atmospheric:dune_rock raw_id=108 class=com.teamabnormals.atmospheric.common.levelgen.feature.DuneRocksFeature
atmospheric:fallen_log raw_id=127 class=com.teamabnormals.atmospheric.common.levelgen.feature.FallenLogFeature
atmospheric:giant_laurel_tree raw_id=123 class=com.teamabnormals.atmospheric.common.levelgen.feature.GiantLaurelTreeFeature
atmospheric:grimwood_tree raw_id=120 class=com.teamabnormals.atmospheric.common.levelgen.feature.GrimwoodTreeFeature
atmospheric:kousa_tree raw_id=118 class=com.teamabnormals.atmospheric.common.levelgen.feature.KousaTreeFeature
atmospheric:large_laurel_tree raw_id=122 class=com.teamabnormals.atmospheric.common.levelgen.feature.LargeLaurelTreeFeature
atmospheric:laurel_tree raw_id=121 class=com.teamabnormals.atmospheric.common.levelgen.feature.LaurelTreeFeature
atmospheric:monkey_brush raw_id=109 class=com.teamabnormals.atmospheric.common.levelgen.feature.MonkeyBrushFeature
atmospheric:ocean_floor_raiser raw_id=130 class=com.teamabnormals.atmospheric.common.levelgen.feature.OceanFloorRaiserFeature
atmospheric:passion_vine raw_id=111 class=com.teamabnormals.atmospheric.common.levelgen.feature.PassionVineFeature
atmospheric:podzol raw_id=105 class=com.teamabnormals.atmospheric.common.levelgen.feature.PodzolFeature
atmospheric:rosewood_tree raw_id=114 class=com.teamabnormals.atmospheric.common.levelgen.feature.RainforestTreeFeature
atmospheric:small_bush raw_id=125 class=com.teamabnormals.atmospheric.common.levelgen.feature.SmallBushFeature
atmospheric:snowy_bamboo raw_id=128 class=com.teamabnormals.atmospheric.common.levelgen.feature.SnowyBambooFeature
atmospheric:surface_fossil raw_id=106 class=com.teamabnormals.atmospheric.common.levelgen.feature.SurfaceFossilFeature
atmospheric:suspicious_arid_sand raw_id=113 class=com.teamabnormals.atmospheric.common.levelgen.feature.SuspiciousAridSandFeature
