# Registry dump
# Registry: neoforge:fluid_type
# Minecraft: 1.21.1
# Entries: 263
# Generated: 2026-06-14T13:45:01.5406753+08:00

bakeries:salt_water raw_id=261 class=com.renyigesai.bakeries.common.blocks.fluid.BakeriesFluidType
beyonddimensions:xp_fluid raw_id=144 class=net.neoforged.neoforge.fluids.FluidType
brewinandchewin:beer raw_id=8 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:bloody_mary raw_id=21 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:dread_nog raw_id=16 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:egg_grog raw_id=11 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:flaxen_cheese raw_id=24 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:glittering_grenadine raw_id=14 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:honey raw_id=7 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:kombucha raw_id=17 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:mead raw_id=10 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:pale_jane raw_id=19 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:red_rum raw_id=22 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:rice_wine raw_id=13 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:saccharine_rum raw_id=18 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:salty_folly raw_id=20 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:scarlet_cheese raw_id=25 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:steel_toe_stout raw_id=15 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:strongroot_ale raw_id=12 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
