# Registry dump
# Registry: minecraft:block
# Minecraft: 1.21.1
# Entries: 10760
# Generated: 2026-06-14T13:47:24.1922436+08:00

amendments:carpet_slab raw_id=6642 class=net.mehvahdjukaar.amendments.common.block.CarpetSlabBlock
amendments:carpet_stairs raw_id=6641 class=net.mehvahdjukaar.amendments.common.block.CarpetStairBlock
amendments:cauldron_hack raw_id=6651 class=net.mehvahdjukaar.amendments.common.block.StructureCauldronHack
amendments:ceiling_banner_black raw_id=6628 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_blue raw_id=6637 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_brown raw_id=6629 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_cyan raw_id=6635 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_gray raw_id=6627 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_green raw_id=6634 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_light_blue raw_id=6636 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_light_gray raw_id=6626 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_lime raw_id=6633 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_magenta raw_id=6639 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_orange raw_id=6631 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_pink raw_id=6640 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_purple raw_id=6638 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_red raw_id=6630 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_white raw_id=6625 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:ceiling_banner_yellow raw_id=6632 class=net.mehvahdjukaar.amendments.common.block.CeilingBannerBlock
amendments:directional_cake raw_id=6650 class=net.mehvahdjukaar.amendments.common.block.DirectionalCakeBlock
amendments:double_cake raw_id=10751 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:dye_cauldron raw_id=6623 class=net.mehvahdjukaar.amendments.common.block.DyeCauldronBlock
amendments:hanging_flower_pot raw_id=6624 class=net.mehvahdjukaar.amendments.common.block.HangingFlowerPotBlock
amendments:liquid_cauldron raw_id=6622 class=net.mehvahdjukaar.amendments.common.block.LiquidCauldronBlock
amendments:neapolitan/double_adzuki_cake raw_id=10749 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:neapolitan/double_banana_cake raw_id=10750 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:neapolitan/double_chocolate_cake raw_id=10752 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:neapolitan/double_mint_cake raw_id=10753 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:neapolitan/double_strawberry_cake raw_id=10756 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:neapolitan/double_vanilla_cake raw_id=10758 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:pineapple_delight/double_pineapple_cake raw_id=10754 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:skull_candle raw_id=6646 class=net.mehvahdjukaar.amendments.common.block.FloorCandleSkullBlock
amendments:skull_candle_soul raw_id=6648 class=net.mehvahdjukaar.amendments.common.block.FloorCandleSkullBlock
amendments:skull_candle_soul_wall raw_id=6649 class=net.mehvahdjukaar.amendments.common.block.WallCandleSkullBlock
amendments:skull_candle_wall raw_id=6647 class=net.mehvahdjukaar.amendments.common.block.WallCandleSkullBlock
amendments:skull_pile raw_id=6645 class=net.mehvahdjukaar.amendments.common.block.DoubleSkullBlock
amendments:tofucraft/double_soycheese_tart raw_id=10755 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:tofucraft/double_tofucake raw_id=10757 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:tofucraft/double_zundatofucake raw_id=10759 class=net.mehvahdjukaar.amendments.common.block.DoubleCakeBlock
amendments:tool_hook raw_id=6644 class=net.mehvahdjukaar.amendments.common.block.ToolHookBlock
amendments:wall_lantern raw_id=6643 class=net.mehvahdjukaar.amendments.common.block.WallLanternBlock
amendments:water_lily_pad raw_id=6621 class=net.mehvahdjukaar.amendments.common.block.WaterloggedLilyBlock
another_furniture:acacia_bench raw_id=7341 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:acacia_chair raw_id=7253 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:acacia_drawer raw_id=7352 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:acacia_flower_box raw_id=7313 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:acacia_shelf raw_id=7264 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:acacia_shutter raw_id=7302 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:acacia_table raw_id=7275 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:bamboo_bench raw_id=7345 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:bamboo_chair raw_id=7257 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:bamboo_drawer raw_id=7356 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:bamboo_flower_box raw_id=7317 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:bamboo_shelf raw_id=7268 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:bamboo_shutter raw_id=7306 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:bamboo_table raw_id=7279 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:birch_bench raw_id=7339 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:birch_chair raw_id=7251 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:birch_drawer raw_id=7350 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:birch_flower_box raw_id=7311 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:birch_shelf raw_id=7262 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:birch_shutter raw_id=7300 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:birch_table raw_id=7273 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:black_curtain raw_id=7335 class=com.starfish_studios.another_furniture.block.CurtainBlock
