# Registry dump
# Registry: minecraft:block_predicate_type
# Minecraft: 1.21.1
# Entries: 20
# Generated: 2026-06-18T20:43:28.3019789+08:00

lithostitched:block_state raw_id=14 class=dev.worldgen.lithostitched.worldgen.blockpredicate.BlockStatePredicate$$Lambda/0x000001c702e76200
lithostitched:grid raw_id=17 class=dev.worldgen.lithostitched.worldgen.blockpredicate.GridPredicate$$Lambda/0x000001c702e7a2b8
lithostitched:in_structure raw_id=13 class=dev.worldgen.lithostitched.worldgen.blockpredicate.InStructurePredicate$$Lambda/0x000001c702e86798
lithostitched:matching_biomes raw_id=18 class=dev.worldgen.lithostitched.worldgen.blockpredicate.MatchingBiomesPredicate$$Lambda/0x000001c702e838c0
lithostitched:multiple_of raw_id=19 class=dev.worldgen.lithostitched.worldgen.blockpredicate.MultipleOfPredicate$$Lambda/0x000001c702e8fc58
lithostitched:offset raw_id=15 class=dev.worldgen.lithostitched.worldgen.blockpredicate.OffsetPredicate$$Lambda/0x000001c702e91790
lithostitched:random_chance raw_id=16 class=dev.worldgen.lithostitched.worldgen.blockpredicate.RandomChancePredicate$$Lambda/0x000001c702e96d58
minecraft:all_of raw_id=9 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:any_of raw_id=8 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:has_sturdy_face raw_id=3 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:inside_world_bounds raw_id=7 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:matching_block_tag raw_id=1 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:matching_blocks raw_id=0 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:matching_fluids raw_id=2 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:not raw_id=10 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:replaceable raw_id=5 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:solid raw_id=4 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:true raw_id=11 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:unobstructed raw_id=12 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
minecraft:would_survive raw_id=6 class=net.minecraft.world.level.levelgen.blockpredicates.BlockPredicateType$$Lambda/0x000001c701e88400
